0ad a26-12
cl-trivial-features 1.0.r3.g35c5eeb-2
cl-trivial-garbage 0.21.r8.gb3af9c0-2
cl-trivial-gray-streams 2.0.0.r47.g2b3823e-1
cl-unicode 0.1.6.r11.g2790a6b-1
clamav 1.2.1-1
clamtk 6.14-1
clang 16.0.6-2
clang14 14.0.6-1
clang15 15.0.7-2
clanlib 4.1.0-2
clap 1.2.0-1
clash 1.18.0-1
clash-ghc 1.8.0-4
claws-mail 4.2.0-1
clazy 1.11-4
clblast 1.6.2-1
clevis 19-2
cli11 2.3.2-1
clinfo 3.0.21.02.21-1
clipcat 0.16.4-2
clipgrab 3.9.10-1
cliphist 1:0.5.0-1
clipmenu 6.2.0-2
clipnotify 1.0.2-2
cliquer 1.22-1
clisp 2.49.93-7
cln 1.3.6-4
cloc 2.00-1
clojure 1.11.1.1435-1
clonezilla 3.35.2-5
cloud-init 23.4.2-1
cloud-utils 0.33-1
cloudflared 2024.1.5-1
clpeak 1.1.2-1
clthreads 2.4.2-5
clucene 2.3.3.4-14
clusterssh 4.16-1
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
clxclient 3.9.2-4
cm256cc 1.1.0-3
cmake 3.28.3-1
cmake-fedora 2.9.3-7
cmark 0.31.0-2
cmark-gfm 0.29.0.gfm.13-1
cmatrix 2.0-2
cmctl 1.13.3-1
cmocka 1.1.7-1
cmt 1.18-3
cmucl 21d-3
cmus 2.10.0-4
cni-plugins 1.4.0-1
cobalt 0.19.0-1
cockatrice 2.9.0-2
cockpit 311-1
cockpit-machines 307-1
cockpit-podman 84-1
cocogitto 6.0.1-1
code 1.86.2-1
codeblocks 20.03-5
codec2 1:1.2.0-1
codespell 2.2.6-1
coeurl 0.3.0-6
coffeescript 2.7.0-1
cogl 1.22.8-2
coin 4.0.2-2
coin-or-asl 2.0.1-1
coin-or-cbc 2.10.11-1
coin-or-cgl 0.60.8-2
coin-or-clp 1.17.9-2
coin-or-coinutils 2.11.10-1
coin-or-csdp 6.2.0-4
coin-or-data-sample 1.2.12-1
coin-or-lemon 1.3.1-5
coin-or-mp 1.8.4-6
coin-or-osi 0.108.9-1
colord 1.4.7-2
colord-gtk 0.3.0-2
colord-kde 23.08.5-1
colordiff 1.0.21-1
colorgcc 1.4.5-2
colorhug-client 0.2.8-3
comgr 6.0.0-1
committed 1.0.20-1
communicator 3.0.2-1
compface 1.5.2-11
compiler-rt 16.0.6-3
compiler-rt14 14.0.6-3
compiler-rt15 15.0.7-1
composable-kernel 6.0.0-1
composer 2.7.1-1
compsize 1.5-1
comtool 2.2.1-1
confuse 3.3-3
conky 1.19.6-1
conky-manager 2.4-4
conmon 1:2.1.10-1
connman 1.41-1
conntrack-tools 1.4.8-1
consul 1.17.3-1
consul-template 0.35.0-1
container-diff 0.17.0-3
containerd 1.7.13-1
containers-common 1:0.57.4-1
contractor 0.3.5-2
converseen 0.12.0.2-1
convertlit 1.8-11
convmv 2.05-3
cool-retro-term 1.2.0-3
coolreader 3.2.59-5
coordgen 3.0.2-1
copr-cli 1.105-1
copyq 7.1.0-2
coq 8.18.0-2
cordova 12.0.0-1
corectrl 1.3.10-1
coreutils 9.4-3
corkscrew 2.0-8
cormorant 3.609-2
corrade 2020.06-3
corrosion 0.4.7-1
cosign 2.2.2-1
coturn 4.6.2-1
couchdb 3.3.3-2
cowfortune 0.1.2-7
cowpatty 4.8-3
cowsay 3.04-4
cowsql 1.15.3-1
coxeter git.20180226-3
cozy-desktop 3.39.0-1
cozy-stack 1:1.6.14-1
cpanminus 1.7046-2
cpio 2.15-1
cpp-hocon 0.3.0-15
cppcheck 2.12.0-2
cppcodec 0.2-3
cppdap 1.58.0-1
cppgir 0.git2.4c16bffe646af52b7112785cda8112d761f95860-1
cppunit 1.15.1-3
cpputest 4.0-4
cppzmq 4.9.0-1
cracklib 2.9.11-1
crane 0.19.0-1
crash 8.0.3-1
crawl 0.31.0-1
cri-o 1.29.1-1
cri-tools 1.29.0-1
crimson-font 0.800-1
crimson-pro-font 1.003-1
critter 1.0.2-12
criu 3.18-2
croc 9.6.12-1
cronie 1.7.1-1
cross 0.2.5-1
crosstool-ng 1.26.0-1
crun 1.14.3-1
cryfs 0.11.4-5
crypto++ 8.9.0-1
cryptol 3.0.0-44
cryptominisat 5.11.21-1
cryptsetup 2.7.0-1
crystal 1.11.1-1
cscope 15.9-2
csfml 2.6.0-1
csound 6.18.1-3
csound-plugins 1.0.2-7
csoundqt 1:1.1.1-1
csvkit 1.3.0-1
ct 0.9.4-1
ctags 1:6.1.0-1
ctemplate 2.4-2
ctop 0.7.7-2
ctpl 0.3.4-4
ctrtool 1.2.0-1
ctwm 4.1.0-1
cuda 12.3.2-1
cudd 3.0.0-1
cudnn 8.9.7.29-1
cue 0.7.0-1
cuetools 1.4.1-5
cuneiform 1.1.0-22
